id_anssi,title,published,link,type,cve_id
CERTFR-2024-ALE-004,[MàJ] Vulnérabilité dans Fortinet FortiOS (09 février 2024),"Fri, 09 Feb 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-004/,alerte,CVE-2024-21762
CERTFR-2024-ALE-005,[MàJ] Vulnérabilité dans Microsoft Outlook (15 février 2024),"Thu, 15 Feb 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-005/,alerte,CVE-2024-21413
CERTFR-2024-ALE-006,[MàJ] Vulnérabilité dans Palo Alto Networks GlobalProtect (12 avril 2024),"Fri, 12 Apr 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-006/,alerte,CVE-2024-3400
CERTFR-2024-ALE-007,Multiples vulnérabilités dans les produits Cisco (25 avril 2024),"Thu, 25 Apr 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,alerte,CVE-2024-20353
CERTFR-2024-ALE-007,Multiples vulnérabilités dans les produits Cisco (25 avril 2024),"Thu, 25 Apr 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-007/,alerte,CVE-2024-20359
CERTFR-2024-ALE-008,[MàJ] Vulnérabilité dans les produits Check Point  (30 mai 2024),"Thu, 30 May 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-008/,alerte,CVE-2024-24919
CERTFR-2024-ALE-009,Vulnérabilité dans OpenSSH (01 juillet 2024),"Mon, 01 Jul 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-009/,alerte,CVE-2024-6387
CERTFR-2024-ALE-010,Multiples vulnérabilités dans Roundcube (09 août 2024),"Fri, 09 Aug 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,alerte,CVE-2024-42009
CERTFR-2024-ALE-010,Multiples vulnérabilités dans Roundcube (09 août 2024),"Fri, 09 Aug 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,alerte,CVE-2024-42008
CERTFR-2024-ALE-010,Multiples vulnérabilités dans Roundcube (09 août 2024),"Fri, 09 Aug 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-010/,alerte,CVE-2024-42010
CERTFR-2024-ALE-011,Vulnérabilité dans SonicWall (10 septembre 2024),"Tue, 10 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-011/,alerte,CVE-2024-40766
CERTFR-2024-ALE-012,[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),"Fri, 27 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,alerte,CVE-2024-47076
CERTFR-2024-ALE-012,[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),"Fri, 27 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,alerte,CVE-2024-47177
CERTFR-2024-ALE-012,[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),"Fri, 27 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,alerte,CVE-2024-47176
CERTFR-2024-ALE-012,[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),"Fri, 27 Sep 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,alerte,CVE-2024-47175
CERTFR-2024-ALE-013,Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),"Tue, 22 Oct 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/,alerte,CVE-2024-9380
CERTFR-2024-ALE-013,Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),"Tue, 22 Oct 2024 00:00:00 +0000",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/,alerte,CVE-2024-8963
